"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10277","00-0029293","M.Jones","WR","DET",1,4,16
"10278","00-0029293","M.Jones","WR","DET",0,0,16
"10279","00-0036277","Q.Cephus","WR","DET",1,11,13
"10280","00-0029293","M.Jones","WR","DET",1,16,16
"10281","00-0029293","M.Jones","WR","DET",1,7,16
"10282","00-0035229","T.Hockenson","TE","DET",0,0,16
"10283","00-0029293","M.Jones","WR","DET",0,0,16
"10284","00-0033040","T.Hill","WR","KC",1,34,15
"10285","00-0031325","S.Watkins","WR","KC",0,0,10
"10286","00-0033040","T.Hill","WR","KC",1,23,15
"10287","00-0031325","S.Watkins","WR","KC",1,6,10
"10288","00-0031408","M.Evans","WR","TB",1,12,16
"10289","00-0031408","M.Evans","WR","TB",0,0,16
"10290","00-0031408","M.Evans","WR","TB",0,0,16
"10291","00-0032775","D.Robinson","WR","KC",1,3,16
"10292","00-0033040","T.Hill","WR","KC",1,1,15
"10293","00-0027656","R.Gronkowski","TE","TB",1,6,16
"10294","00-0027793","A.Brown","WR","TB",0,0,8
"10295","00-0033040","T.Hill","WR","KC",1,75,15
"10296","00-0027656","R.Gronkowski","TE","TB",1,6,16
"10297","00-0031273","C.Brate","TE","TB",0,0,16
"10298","00-0033040","T.Hill","WR","KC",1,19,15
"10299","00-0035140","M.Hardman","WR","KC",1,3,16
"10300","00-0030506","T.Kelce","TE","KC",1,14,15
"10301","00-0035140","M.Hardman","WR","KC",0,0,16
"10302","00-0033040","T.Hill","WR","KC",1,7,15
"10303","00-0033040","T.Hill","WR","KC",1,44,15
"10304","00-0033921","C.Godwin","WR","TB",1,2,12
"10305","00-0031273","C.Brate","TE","TB",1,6,16
"10306","00-0033921","C.Godwin","WR","TB",0,0,12
"10307","00-0030506","T.Kelce","TE","KC",1,20,15
"10308","00-0030506","T.Kelce","TE","KC",1,12,15
"10309","00-0031325","S.Watkins","WR","KC",0,0,10
"10310","00-0031325","S.Watkins","WR","KC",1,14,10
"10311","00-0033040","T.Hill","WR","KC",0,0,15
"10312","00-0034319","D.Yelder","TE","KC",1,2,14
"10313","00-0030506","T.Kelce","TE","KC",1,9,15
"10314","00-0035140","M.Hardman","WR","KC",1,5,16
"10315","00-0032775","D.Robinson","WR","KC",1,13,16
"10316","00-0031408","M.Evans","WR","TB",0,0,16
"10317","00-0027656","R.Gronkowski","TE","TB",1,9,16
"10318","00-0027793","A.Brown","WR","TB",1,2,8
"10319","00-0033921","C.Godwin","WR","TB",1,8,12
"10320","00-0027656","R.Gronkowski","TE","TB",1,29,16
"10321","00-0034816","R.Jones","RB","TB",1,37,14
"10322","00-0031325","S.Watkins","WR","KC",1,7,10
"10323","00-0033040","T.Hill","WR","KC",1,7,15
"10324","00-0032775","D.Robinson","WR","KC",1,8,16
"10325","00-0032775","D.Robinson","WR","KC",1,9,16
"10326","00-0030506","T.Kelce","TE","KC",1,14,15
"10327","00-0030506","T.Kelce","TE","KC",1,8,15
"10328","00-0027656","R.Gronkowski","TE","TB",1,8,16
"10329","00-0027656","R.Gronkowski","TE","TB",1,48,16
"10330","00-0033856","L.Fournette","RB","TB",1,-4,13
"10331","00-0027656","R.Gronkowski","TE","TB",0,0,16
"10332","00-0030506","T.Kelce","TE","KC",1,2,15
"10333","00-0033040","T.Hill","WR","KC",1,21,15
"10334","00-0033040","T.Hill","WR","KC",1,4,15
"10335","00-0033040","T.Hill","WR","KC",1,6,15
"10336","00-0033040","T.Hill","WR","KC",1,20,15
"10337","00-0034816","R.Jones","RB","TB",0,0,14
"10338","00-0033921","C.Godwin","WR","TB",1,44,12
"10339","00-0035298","S.Miller","WR","TB",0,0,16
"10340","00-0035140","M.Hardman","WR","KC",0,0,16
"10341","00-0031325","S.Watkins","WR","KC",0,0,10
"10342","00-0027793","A.Brown","WR","TB",1,9,8
"10343","00-0031408","M.Evans","WR","TB",0,0,16
"10344","00-0031273","C.Brate","TE","TB",1,14,16
"10345","00-0031273","C.Brate","TE","TB",1,9,16
"10346","00-0033921","C.Godwin","WR","TB",1,8,12
"10347","00-0031273","C.Brate","TE","TB",0,0,16
"10348","00-0031408","M.Evans","WR","TB",0,0,16
"10349","00-0033921","C.Godwin","WR","TB",1,7,12
"10350","00-0031408","M.Evans","WR","TB",1,31,16
