"","receiver_id","receiver_player_name","Pos","posteam","complete_pass","yards_gained","G"
"10635","00-0035631","D.Sample","TE","CIN",1,3,16
"10636","00-0033009","T.Boyd","WR","CIN",1,5,15
"10637","00-0036410","T.Higgins","WR","CIN",1,18,16
"10638","00-0030456","G.Bernard","RB","CIN",1,16,16
"10639","00-0034686","A.Tate","WR","CIN",0,0,9
"10640","00-0036410","T.Higgins","WR","CIN",1,1,16
"10641","00-0031384","R.Rodgers","TE","PHI",0,0,14
"10642","00-0033733","G.Ward","WR","PHI",0,0,16
"10643","00-0029137","A.Jeffery","WR","PHI",0,0,7
"10644","00-0033594","C.Carson","RB","SEA",1,12,12
"10645","00-0035640","D.Metcalf","WR","SEA",1,13,16
"10646","00-0035640","D.Metcalf","WR","SEA",1,10,16
"10647","00-0035640","D.Metcalf","WR","SEA",1,8,16
"10648","00-0035640","D.Metcalf","WR","SEA",0,0,16
"10649","00-0033589","D.Moore","WR","SEA",1,-5,16
"10650","00-0036387","J.Reagor","WR","PHI",0,0,11
"10651","00-0033387","J.Hollister","TE","SEA",0,0,16
"10652","00-0035640","D.Metcalf","WR","SEA",1,7,16
"10653","00-0036387","J.Reagor","WR","PHI",1,3,11
"10654","00-0034351","D.Goedert","TE","PHI",0,0,11
"10655","00-0031045","C.Hyde","RB","SEA",0,0,10
"10656","00-0035640","D.Metcalf","WR","SEA",1,11,16
"10657","00-0036398","J.Hightower","WR","PHI",1,1,13
